month,day_type,hour,shape
6,1,13,0.6497979705278163
6,1,14,0.687586817989539
6,1,15,0.588206219582433
6,1,16,0.7565382089406671
6,1,17,0.9018628193172676
6,1,18,1.1053297776027833
6,1,19,1.2612800488190172
6,1,20,1.2800582771481577
6,1,21,1.295238026778343
6,1,22,1.2121144395443622
6,1,23,1.1345784561926509
6,2,0,1.1211540717865693
6,2,1,1.0455709716210833
6,2,2,0.9554470764650171
6,2,3,0.9343576391931069
6,2,4,0.9543445050317428
6,2,5,0.913444147837954
6,2,6,0.8385585538430107
6,2,7,0.405917236871568
6,2,8,0.27505383631086855
6,2,9,0.25459546267748123
6,2,10,0.22803992489565736
6,2,11,0.23703271241275373
6,2,12,0.2061584374886429
6,2,13,0.275516198092087
6,2,14,0.29518059445167466
6,2,15,0.29154051556402827
6,2,16,0.3648663612035119
6,2,17,0.6759209801729176
6,2,18,1.0060006097453462
6,2,19,1.228929925400727
6,2,20,1.2669296351160027
6,2,21,1.2878566560209221
6,2,22,1.1489109876076795
6,2,23,1.0589246642853576
7,0,0,1.1593148881222164
7,0,1,1.131799200063663
7,0,2,1.088891802966713
7,0,3,1.0801827737167136
7,0,4,1.0682879088401878
7,0,5,1.0204720407314982
7,0,6,0.9047900920116116
7,0,7,0.742074294583433
7,0,8,1.094918300853568
7,0,9,1.0899817322485026
7,0,10,0.9878296393636365
7,0,11,0.9874180316601123
7,0,12,0.7738159189528134
7,0,13,0.923002469102205
7,0,14,1.044724584624477
7,0,15,1.034729876279474
7,0,16,1.0914774109161312
7,0,17,1.12560602794864
7,0,18,1.128858943524558
7,0,19,1.1954232976513959
7,0,20,1.2037004975871886
7,0,21,1.2086023159546724
7,0,22,1.1671176887571209
7,0,23,1.1086089219703275
7,1,0,1.1738373454317146
7,1,1,1.1428643414045292
7,1,2,1.0772964592314949
7,1,3,1.0654447560898053
7,1,4,1.050104734420381
7,1,5,1.0239117115234233
7,1,6,0.924274049356676
7,1,7,0.690916845711534
7,1,8,0.9547814182045398
7,1,9,0.8801959739650651
7,1,10,0.751863765199327
7,1,11,0.715294830078642
7,1,12,0.5813463483967012
7,1,13,0.7409009814243748
7,1,14,0.7294696542976341
7,1,15,0.6715112954222036
7,1,16,0.827432907175584
7,1,17,0.9425857476129937
7,1,18,1.0901386389328938
7,1,19,1.1980178057873678
7,1,20,1.203975709999392
7,1,21,1.2122594494819634
7,1,22,1.148644725891381
7,1,23,1.1020496262956798
7,2,0,1.1218912046149834
7,2,1,1.059719028337954
7,2,2,0.9843331776819528
7,2,3,0.9706051088014733
7,2,4,0.972686717712049
7,2,5,0.9348847018254194
7,2,6,0.8931634310414986
7,2,7,0.602587804798852
7,2,8,0.4175570810519053
7,2,9,0.40116785772411745
7,2,10,0.36085423108748804
7,2,11,0.36226332454031374
7,2,12,0.3241348907310214
7,2,13,0.44027849715070955
7,2,14,0.45067721302943387
7,2,15,0.422230231767721
7,2,16,0.5491458176271398
7,2,17,0.7956263618773005
7,2,18,1.0180904388470837
7,2,19,1.1703822420270522
7,2,20,1.1937719468305779
7,2,21,1.2103730847177707
7,2,22,1.1446097314428914
7,2,23,1.0885044805692632
8,0,0,1.1414463931166352
8,0,1,1.1082786341279511
8,0,2,1.0601787126634086
8,0,3,1.030006323651294
8,0,4,0.9999225377317623
8,0,5,1.004817313127565
8,0,6,0.9751715522467514
8,0,7,0.8786766225300584
8,0,8,1.1136725209031209
8,0,9,1.0661745131382856
8,0,10,0.9691944888478206
8,0,11,0.9667430120395747
8,0,12,0.7301968581021038
8,0,13,0.9106388367905484
8,0,14,1.0257305771120362
8,0,15,1.0330700592058413
8,0,16,1.1045901733698178
8,0,17,1.1446711822060962
8,0,18,1.1500337325892538
8,0,19,1.1721308050240038
8,0,20,1.1734840073529302
8,0,21,1.1617908315648287
8,0,22,1.1239758036465626
8,0,23,1.0784438894374797
8,1,0,1.1554834348897238
8,1,1,1.1258581322380006
8,1,2,1.0753993898032523
8,1,3,1.0840392804505523
8,1,4,1.0419550781480047
8,1,5,1.051768360072001
8,1,6,1.0474012843885914
8,1,7,0.8764015401833982
8,1,8,0.9682657542706204
8,1,9,0.8956999856288903
8,1,10,0.7627246617904835
8,1,11,0.7137643371873769
8,1,12,0.5570309906592292
8,1,13,0.7247198143488243
8,1,14,0.6900589003535462
8,1,15,0.709925019103024
8,1,16,0.8992085411894385
8,1,17,1.043512245516544
8,1,18,1.1369583232866425
8,1,19,1.1821399130044967
8,1,20,1.1840669487734883
8,1,21,1.1623172412934208
8,1,22,1.1042439243499436
8,1,23,1.0661266121293758
8,2,0,1.1407711654841357
8,2,1,1.0898824641157505
8,2,2,1.0203618688763219
8,2,3,1.0136275577409666
8,2,4,1.0047718989721788
8,2,5,0.9919441874707126
8,2,6,1.0112005071397108
8,2,7,0.8256605440963762
8,2,8,0.5436606453427839
8,2,9,0.47003427528287445
8,2,10,0.37424549750769254
8,2,11,0.3498563496810598
8,2,12,0.2908342094389317
8,2,13,0.4421897267557459
8,2,14,0.4794631483176836
8,2,15,0.4662659561645759
8,2,16,0.7335079913824357
8,2,17,0.9707793283363337
8,2,18,1.096069816569524
8,2,19,1.1608218883747679
8,2,20,1.1705959709764004
8,2,21,1.1602943942334902
8,2,22,1.1225652806889963
8,2,23,1.0947602157836038
9,0,0,1.132994410468632
9,0,1,1.0781722880350826
9,0,2,1.0029335147067728
9,0,3,0.9514087541175239
9,0,4,0.924725827350402
9,0,5,0.9793501180009322
9,0,6,1.0554066468897805
9,0,7,1.023341526021114
9,0,8,1.165267920353038
9,0,9,1.0626027492790933
9,0,10,0.9170218478459752
9,0,11,0.9134021992914083
9,0,12,0.586711012682146
9,0,13,0.8155367689869302
9,0,14,0.983747537483941
9,0,15,1.0060062655212012
9,0,16,1.1286266995630236
9,0,17,1.1921917809695235
9,0,18,1.2023737311721703
9,0,19,1.2025620456814508
9,0,20,1.2021345843721667
9,0,21,1.1726990336076732
9,0,22,1.1067518652682933
9,0,23,1.0600530603103016
9,1,0,1.1477543490776019
9,1,1,1.0997389457832805
9,1,2,1.0421962394398903
9,1,3,1.0466084231946113
9,1,4,1.0023067496245472
9,1,5,1.0556157060014215
9,1,6,1.1350397322559975
9,1,7,0.9741007551372397
9,1,8,0.9589224856624768
9,1,9,0.8798662787723626
9,1,10,0.7316739465566287
9,1,11,0.6592076943696101
9,1,12,0.43336315021873184
9,1,13,0.6375275401866155
9,1,14,0.647886816860876
9,1,15,0.7204093360020378
9,1,16,0.9748954454394985
9,1,17,1.144058225017777
9,1,18,1.2016120912844481
9,1,19,1.2093143738463255
9,1,20,1.2107458827578268
9,1,21,1.1695069418261306
9,1,22,1.0969823880372356
9,1,23,1.0281290739076854
9,2,0,1.1435714154945247
9,2,1,1.087863415867138
9,2,2,1.013364076692941
9,2,3,1.0116945264558679
9,2,4,1.0041420314946707
9,2,5,1.0156537066966036
9,2,6,1.0902049858007743
9,2,7,0.9161283366718596
9,2,8,0.5989669064247273
9,2,9,0.4338565290632497
9,2,10,0.2932367108868045
9,2,11,0.248400834191888
9,2,12,0.16592617030024076
9,2,13,0.32313036669014944
9,2,14,0.4046354575973364
9,2,15,0.4562764436301079
9,2,16,0.8504401131114858
9,2,17,1.097780047716044
9,2,18,1.1815761172242376
9,2,19,1.1960101941603591
9,2,20,1.1954948285602431
9,2,21,1.1647002480772486
9,2,22,1.0850568199797654
9,2,23,1.0513051120687158
10,0,0,1.1258668843685353
10,0,1,1.0500969423679227
10,0,2,0.9462981912600696
10,0,3,0.8907536461232707
10,0,4,0.8769988766796589
10,0,5,0.9464003801664633
10,0,6,1.1020901799117557
10,0,7,1.1212604492805927
10,0,8,1.2219836183279957
10,0,9,1.1086878583700348
10,0,10,0.925091708703682
10,0,11,0.909131056430139
10,0,12,0.5126139713361647
10,0,13,0.7674109759024974
10,0,14,0.9860318213843132
10,0,15,1.0235956578617678
10,0,16,1.1816813309777636
10,0,17,1.2438129581948891
10,0,18,1.2505197543005049
10,0,19,1.2476559725870184
10,0,20,1.241252960403125
10,0,21,1.210231714617457
10,0,22,1.1106856441993729
10,0,23,1.0536038598527682
