valuation_date,delivery_month,horizon_months,n_delivery_hours,contract_name,quoted,near_term_anchored,forward_TRY_MWh,realized_TRY_MWh,realized_coverage,realized_n_hours,spot_at_valuation_TRY_MWh,ggf_quotation_date,ggf_staleness_days,bias_TRY_MWh,abs_error_TRY_MWh,sMAPE_pct,relative_bias_pct,realized_status
2025-06-30,2025-07,1,744,,False,True,2878.5773541053995,2965.1591532258067,1.0,744,3155.0,2025-06-30,0,86.58179912040714,86.58179912040714,2.9632341914043088,3.007798244397532,ok
2025-06-30,2025-08,2,744,EBM0825,True,False,2602.150000000003,2939.238629032258,1.0,744,3155.0,2025-06-30,0,337.0886290322551,337.0886290322551,12.166215062635798,12.95423511451126,ok
2025-06-30,2025-09,3,720,EBM0925,True,False,2421.8400000000015,2729.022402777778,1.0,720,3155.0,2025-06-30,0,307.1824027777766,307.1824027777766,11.927416372532798,12.683843803792834,ok
2025-06-30,2025-10,4,744,EBM1025,True,False,2445.38,2739.5005241935482,1.0,744,3155.0,2025-06-30,0,294.12052419354814,294.12052419354814,11.345315396222958,12.027599971928622,ok
2025-06-30,2025-11,5,720,EBM1125,True,False,2578.8000000000025,2784.098125,1.0,720,3155.0,2025-06-30,0,205.29812499999753,205.29812499999753,7.6562381091286325,7.960994454785068,ok
2025-06-30,2025-12,6,744,EBM1225,True,False,2561.08,2973.042002688172,1.0,744,3155.0,2025-06-30,0,411.9620026881721,411.9620026881721,14.888070862480575,16.08547966827167,ok
2025-06-30,2026-01,7,744,EBM0126,True,False,2508.7999999999997,2894.9206989247314,1.0,744,3155.0,2025-06-30,0,386.12069892473164,386.12069892473164,14.290919921215192,15.390652858925847,ok
2025-12-31,2026-01,1,744,,False,True,2909.3936686005422,2894.9206989247314,1.0,744,2917.78,2025-12-31,0,-14.472969675810873,14.472969675810873,0.4986969608946789,-0.49745656052013637,ok
2025-12-31,2026-02,2,672,EBM0226,True,False,2900.989999999996,2078.195,1.0,672,2917.78,2025-12-31,0,-822.794999999996,822.794999999996,33.04938458803987,-28.36255898848314,ok
2025-12-31,2026-03,3,744,EBM0326,True,False,2556.3099999999963,1620.3242876344086,1.0,744,2917.78,2025-12-31,0,-935.9857123655877,935.9857123655877,44.82009426282418,-36.61471857347462,ok
2025-12-31,2026-04,4,720,EBM0426,True,False,2500.6600000000035,921.0565694444444,1.0,720,2917.78,2025-12-31,0,-1579.603430555559,1579.603430555559,92.32812820683301,-63.16746101251498,ok
2025-12-31,2026-05,5,744,EBM0526,True,False,2506.2499999999964,590.8999865591397,1.0,744,2917.78,2025-12-31,0,-1915.3500134408566,1915.3500134408566,123.68467925370108,-76.42294317968516,ok
2025-12-31,2026-06,6,720,EBM0626,True,False,2245.33,1240.1615833333335,1.0,720,2917.78,2025-12-31,0,-1005.1684166666664,1005.1684166666664,57.67728268076197,-44.7670683893533,ok
2025-12-31,2026-07,7,744,EBM0726,True,False,3558.1900000000037,2699.6135080645163,1.0,744,2917.78,2025-12-31,0,-858.5764919354874,858.5764919354874,27.440186986664816,-24.129585321061736,ok
